ID,Nome,Assunto,Número de resoluções,Nível,Link
1039,Flores de Fogo,Geometria,6.910,5,https://www.beecrowd.com.br/judge/pt/problems/view/1039
1102,Ataque Fulminante,Geometria Computacional,92,10,https://www.beecrowd.com.br/judge/pt/problems/view/1102
1108,Torres de Telefonia Celular,Geometria Computacional,128,9,https://www.beecrowd.com.br/judge/pt/problems/view/1108
1124,Elevador,Geometria Computacional,2.773,8,https://www.beecrowd.com.br/judge/pt/problems/view/1124
1126,Guerra nas Estrelas,Geometria Computacional,95,9,https://www.beecrowd.com.br/judge/pt/problems/view/1126
1137,Pontos Cocirculares,Geometria Computacional,395,8,https://www.beecrowd.com.br/judge/pt/problems/view/1137
1204,"Myachowski, o Futebol Russo","Geometria, matemática",118,9,https://www.beecrowd.com.br/judge/pt/problems/view/1204
1223,Tobogan de Bolinhas,Distância entre ptos ou pto e seg. de reta,553,8,https://www.beecrowd.com.br/judge/pt/problems/view/1223
1268,Missão Impossível,"Distância entre ponto e segmento de reta, DFS",49,8,https://www.beecrowd.com.br/judge/pt/problems/view/1268
1291,Será Isso Integração?,"Geometria, círculos",802,5,https://www.beecrowd.com.br/judge/pt/problems/view/1291
1293,Romeu e Julieta!,"Geometria, triângulos e círculos",111,7,https://www.beecrowd.com.br/judge/pt/problems/view/1293
1294,A Maior e Menor Caixa,"Geometria Computacional, equação quadrática",524,7,https://www.beecrowd.com.br/judge/pt/problems/view/1294
1295,Problema dos Pares Mais Próximos,"Geometria Computacional, dividir e conquistar",1.785,9,https://www.beecrowd.com.br/judge/pt/problems/view/1295
1296,Medianas,"Geometria, triângulos",806,5,https://www.beecrowd.com.br/judge/pt/problems/view/1296
1315,Não tão Convexo,Desconhecido,126,10,https://www.beecrowd.com.br/judge/pt/problems/view/1315
1336,Cerca do Jardim,Geometria Computacional,69,8,https://www.beecrowd.com.br/judge/pt/problems/view/1336
1345,Região Segura,Desconhecido,33,10,https://www.beecrowd.com.br/judge/pt/problems/view/1345
1358,Cortando Extremidades,Desconhecido,38,10,https://www.beecrowd.com.br/judge/pt/problems/view/1358
1370,Regata de Cientistas,Desconhecido,78,9,https://www.beecrowd.com.br/judge/pt/problems/view/1370
1378,Triângulos Isósceles,"Geometria, Ordenação, Combinatória",474,9,https://www.beecrowd.com.br/judge/pt/problems/view/1378
1411,Encolhendo Polígonos,Poligonos,109,9,https://www.beecrowd.com.br/judge/pt/problems/view/1411
1446,Diagrama de Venn?,"Convex Hull, Intersecção de Polígonos",25,5,https://www.beecrowd.com.br/judge/pt/problems/view/1446
1455,Final do ICPC,Desconhecido,194,10,https://www.beecrowd.com.br/judge/pt/problems/view/1455
1464,Camadas de Cebola,Envoltória convexa,898,8,https://www.beecrowd.com.br/judge/pt/problems/view/1464
1468,Balão,"Segmento de Retas, PD",263,10,https://www.beecrowd.com.br/judge/pt/problems/view/1468
1497,Esconde-Esconde,Desconhecido,147,10,https://www.beecrowd.com.br/judge/pt/problems/view/1497
1504,Curo Railroad,-,8,5,https://www.beecrowd.com.br/judge/pt/problems/view/1504
1549,Dividindo a Coca,"Busca Binária, Geometria",858,5,https://www.beecrowd.com.br/judge/pt/problems/view/1549
